,date,price,buysell,balance
0,2017-06-07,71.5455322265625,buy,0.0
1,2017-06-23,68.8482666015625,sell,-2.697265625
2,2017-09-04,71.27307891845703,buy,-2.697265625
3,2017-09-22,66.34172058105469,sell,-7.628623962402344
4,2017-10-23,69.17520904541016,buy,-7.628623962402344
5,2017-10-30,73.12574768066406,sell,-3.6780853271484375
6,2017-12-07,80.40017700195312,buy,-3.6780853271484375
7,2017-12-15,84.56867218017578,sell,0.49040985107421875
8,2018-06-13,82.8653793334961,buy,0.49040985107421875
9,2018-06-27,73.85060119628906,sell,-8.524368286132812
10,2018-07-13,84.46942901611328,buy,-8.524368286132812
11,2018-07-17,88.73621368408203,sell,-4.2575836181640625
12,2018-10-15,152.4499969482422,buy,-4.2575836181640625
13,2018-10-17,161.75,sell,5.04241943359375
14,2018-11-29,169.89999389648438,buy,5.04241943359375
15,2018-12-04,162.75,sell,-2.107574462890625
16,2018-12-26,161.25,buy,-2.107574462890625
17,2019-01-02,154.85000610351562,sell,-8.507568359375
18,2019-03-05,141.8000030517578,buy,-8.507568359375
19,2019-03-07,136.89999389648438,sell,-13.407577514648438
20,2019-05-21,154.64999389648438,buy,-13.407577514648438
21,2019-06-10,149.9499969482422,sell,-18.107574462890625
22,2019-08-27,137.14999389648438,buy,-18.107574462890625
23,2019-08-29,132.35000610351562,sell,-22.907562255859375
24,2019-10-15,155.0,buy,-22.907562255859375
25,2019-10-18,175.10000610351562,sell,-2.80755615234375
26,2020-01-13,213.60000610351562,buy,-2.80755615234375
27,2020-01-17,228.39999389648438,sell,11.992431640625
28,2020-05-28,142.64999389648438,buy,11.992431640625
29,2020-06-01,150.5,sell,19.842437744140625
30,2020-07-21,167.3000030517578,buy,19.842437744140625
31,2020-07-29,179.10000610351562,sell,31.642440795898438
32,2021-08-06,1536.6500244140625,buy,31.642440795898438
33,2021-08-10,1446.5,sell,-58.50758361816406
34,2021-08-25,1475.3499755859375,buy,-58.50758361816406
35,2021-08-31,1587.5999755859375,sell,53.74241638183594
36,2021-10-05,1527.6500244140625,buy,53.74241638183594
37,2021-10-06,1479.550048828125,sell,5.6424407958984375
38,2021-11-09,1635.449951171875,buy,5.6424407958984375
39,2021-11-15,1749.550048828125,sell,119.74253845214844
40,2021-12-27,1730.199951171875,buy,119.74253845214844
41,2022-01-11,1843.9000244140625,sell,233.44261169433594
42,2022-02-11,1764.300048828125,buy,233.44261169433594
43,2022-02-14,1663.949951171875,sell,133.09251403808594
44,2022-03-15,1701.4000244140625,buy,133.09251403808594
45,2022-03-17,1819.6500244140625,sell,251.34251403808594
