,date,price,buysell,balance
0,2017-04-25,709.6730346679688,buy,0.0
1,2017-05-02,678.8402709960938,sell,-30.832763671875
2,2017-06-15,685.4773559570312,buy,-30.832763671875
3,2017-07-07,738.5740356445312,sell,22.263916015625
4,2017-08-31,789.7638549804688,buy,22.263916015625
5,2017-09-13,841.0278930664062,sell,73.5279541015625
6,2017-10-06,829.1901245117188,buy,73.5279541015625
7,2017-10-18,905.912841796875,sell,150.25067138671875
8,2017-11-17,903.3372802734375,buy,150.25067138671875
9,2018-01-22,962.3776245117188,sell,209.291015625
10,2018-02-26,929.8856201171875,buy,209.291015625
11,2018-03-07,881.395263671875,sell,160.8006591796875
12,2018-04-11,922.1093139648438,buy,160.8006591796875
13,2018-04-27,986.9447631835938,sell,225.6361083984375
14,2018-06-07,962.22900390625,buy,225.6361083984375
15,2018-06-21,1022.260009765625,sell,285.6671142578125
16,2018-07-04,980.802978515625,buy,285.6671142578125
17,2018-07-12,1072.186767578125,sell,377.0509033203125
18,2018-09-26,1239.6494140625,buy,377.0509033203125
19,2018-10-03,1193.7841796875,sell,331.1856689453125
20,2018-11-19,1139.2015380859375,buy,331.1856689453125
21,2018-11-21,1102.4498291015625,sell,294.4339599609375
22,2018-12-18,1125.729248046875,buy,294.4339599609375
23,2018-12-21,1089.869140625,sell,258.5738525390625
24,2019-01-16,1125.23388671875,buy,258.5738525390625
25,2019-01-21,1226.0780029296875,sell,359.41796875
26,2019-05-31,1317.659912109375,buy,359.41796875
27,2019-06-17,1270.2591552734375,sell,312.0172119140625
28,2019-08-19,1280.4625244140625,buy,312.0172119140625
29,2019-08-22,1235.04296875,sell,266.59765625
30,2019-09-24,1266.6929931640625,buy,266.59765625
31,2019-10-10,1349.9537353515625,sell,349.8583984375
32,2020-01-17,1566.1544189453125,buy,349.8583984375
33,2020-01-20,1517.9613037109375,sell,301.665283203125
34,2020-04-13,1177.98388671875,buy,301.665283203125
35,2020-04-15,1139.0528564453125,sell,262.7342529296875
36,2020-12-11,2005.800048828125,buy,262.7342529296875
37,2020-12-21,1939.699951171875,sell,196.6341552734375
38,2020-12-30,1995.5,buy,196.6341552734375
39,2021-01-06,1914.25,sell,115.3841552734375
40,2021-01-19,2016.4000244140625,buy,115.3841552734375
41,2021-01-25,1941.0,sell,39.984130859375
42,2021-02-11,2055.699951171875,buy,39.984130859375
43,2021-03-03,2202.10009765625,sell,186.38427734375
44,2021-05-19,1997.050048828125,buy,186.38427734375
45,2021-05-31,2160.300048828125,sell,349.63427734375
46,2021-08-12,2110.5,buy,349.63427734375
47,2021-08-26,2230.449951171875,sell,469.584228515625
48,2022-01-05,2469.60009765625,buy,469.584228515625
49,2022-01-24,2377.89990234375,sell,377.884033203125
50,2022-02-18,2424.39990234375,buy,377.884033203125
51,2022-02-24,2255.75,sell,209.234130859375
52,2022-03-16,2403.35009765625,buy,209.234130859375
53,2022-03-22,2531.14990234375,sell,337.033935546875
