,date,price,buysell,balance
0,2017-04-05,62.4456787109375,buy,0.0
1,2017-04-07,63.971405029296875,sell,1.525726318359375
2,2017-06-06,69.77460479736328,buy,1.525726318359375
3,2017-06-07,71.5455322265625,sell,3.2966537475585938
4,2017-09-01,74.43350982666016,buy,3.2966537475585938
5,2017-09-04,71.27307891845703,sell,0.13622283935546875
6,2017-10-23,69.17520904541016,buy,0.13622283935546875
7,2017-10-26,71.3820571899414,sell,2.3430709838867188
8,2017-12-08,82.30732727050781,buy,2.3430709838867188
9,2017-12-13,80.37293243408203,sell,0.4086761474609375
10,2018-06-13,82.8653793334961,buy,0.4086761474609375
11,2018-06-14,85.94515991210938,sell,3.4884567260742188
12,2018-07-13,84.46942901611328,buy,3.4884567260742188
13,2018-07-17,88.73621368408203,sell,7.755241394042969
14,2018-10-15,152.4499969482422,buy,7.755241394042969
15,2018-10-16,157.64999389648438,sell,12.955238342285156
16,2018-11-29,169.89999389648438,buy,12.955238342285156
17,2018-11-30,165.0,sell,8.055244445800781
18,2018-12-26,161.25,buy,8.055244445800781
19,2019-01-01,157.25,sell,4.055244445800781
20,2019-03-05,141.8000030517578,buy,4.055244445800781
21,2019-03-06,139.25,sell,1.5052413940429688
22,2019-05-21,154.64999389648438,buy,1.5052413940429688
23,2019-05-22,157.9499969482422,sell,4.805244445800781
24,2019-06-25,150.85000610351562,buy,4.805244445800781
25,2019-07-01,154.10000610351562,sell,8.055244445800781
26,2019-08-27,137.14999389648438,buy,8.055244445800781
27,2019-08-29,132.35000610351562,sell,3.2552566528320312
28,2019-10-15,155.0,buy,3.2552566528320312
29,2019-10-16,160.14999389648438,sell,8.405250549316406
30,2020-01-13,213.60000610351562,buy,8.405250549316406
31,2020-01-16,220.0,sell,14.805244445800781
32,2020-05-28,142.64999389648438,buy,14.805244445800781
33,2020-05-29,148.35000610351562,sell,20.50525665283203
34,2020-07-21,167.3000030517578,buy,20.50525665283203
35,2020-07-28,173.5500030517578,sell,26.75525665283203
36,2021-08-06,1536.6500244140625,buy,26.75525665283203
37,2021-08-09,1493.4000244140625,sell,-16.49474334716797
38,2021-08-25,1475.3499755859375,buy,-16.49474334716797
39,2021-08-27,1506.050048828125,sell,14.205329895019531
40,2021-10-05,1527.6500244140625,buy,14.205329895019531
41,2021-10-06,1479.550048828125,sell,-33.89464569091797
42,2021-11-09,1635.449951171875,buy,-33.89464569091797
43,2021-11-12,1705.199951171875,sell,35.85535430908203
44,2021-12-27,1730.199951171875,buy,35.85535430908203
45,2021-12-30,1696.4000244140625,sell,2.0554275512695312
46,2022-02-11,1764.300048828125,buy,2.0554275512695312
47,2022-02-14,1663.949951171875,sell,-98.29467010498047
48,2022-03-14,1736.0999755859375,buy,-98.29467010498047
49,2022-03-15,1701.4000244140625,sell,-132.99462127685547
