,date,price,buysell,balance
0,2016-11-18,381.92498779296875,buy,0.0
1,2016-11-25,400.9750061035156,sell,19.050018310546875
2,2016-12-28,403.5249938964844,buy,19.050018310546875
3,2017-01-02,414.25,sell,29.7750244140625
4,2017-01-31,405.57501220703125,buy,29.7750244140625
5,2017-02-16,422.5,sell,46.70001220703125
6,2017-04-07,424.6499938964844,buy,46.70001220703125
7,2017-04-12,415.82501220703125,sell,37.875030517578125
8,2017-04-20,407.45001220703125,buy,37.875030517578125
9,2017-04-21,406.375,sell,36.800018310546875
10,2017-04-24,409.7749938964844,buy,36.800018310546875
11,2017-04-26,400.125,sell,27.1500244140625
12,2017-06-14,426.82501220703125,buy,27.1500244140625
13,2017-07-07,415.95001220703125,sell,16.2750244140625
14,2017-08-07,443.0,buy,16.2750244140625
15,2017-08-14,430.04998779296875,sell,3.32501220703125
16,2017-08-29,426.2749938964844,buy,3.32501220703125
17,2017-09-15,443.5249938964844,sell,20.57501220703125
18,2017-09-27,437.32501220703125,buy,20.57501220703125
19,2017-10-04,443.29998779296875,sell,26.54998779296875
20,2017-10-27,427.4750061035156,buy,26.54998779296875
21,2017-10-30,418.17498779296875,sell,17.249969482421875
22,2017-11-13,434.75,buy,17.249969482421875
23,2017-11-15,424.17498779296875,sell,6.674957275390625
24,2017-12-13,433.17498779296875,buy,6.674957275390625
25,2017-12-22,443.45001220703125,sell,16.949981689453125
26,2018-02-08,472.17498779296875,buy,16.949981689453125
27,2018-02-19,457.1000061035156,sell,1.875
28,2018-03-20,468.6000061035156,buy,1.875
29,2018-03-26,483.5249938964844,sell,16.79998779296875
30,2018-05-04,464.92498779296875,buy,16.79998779296875
31,2018-05-17,454.875,sell,6.75
32,2018-05-22,452.45001220703125,buy,6.75
33,2018-06-05,442.5249938964844,sell,-3.175018310546875
34,2018-06-21,451.2749938964844,buy,-3.175018310546875
35,2018-07-03,468.75,sell,14.29998779296875
36,2018-07-27,481.7250061035156,buy,14.29998779296875
37,2018-08-10,483.0,sell,15.574981689453125
38,2018-08-13,491.5,buy,15.574981689453125
39,2018-08-14,499.8500061035156,sell,23.92498779296875
40,2018-08-17,501.5249938964844,buy,23.92498779296875
41,2018-08-27,519.5,sell,41.899993896484375
42,2018-08-28,520.375,buy,41.899993896484375
43,2018-08-30,508.2749938964844,sell,29.79998779296875
44,2018-10-08,536.0499877929688,buy,29.79998779296875
45,2018-10-11,504.5,sell,-1.75
46,2018-10-17,512.125,buy,-1.75
47,2018-10-19,479.25,sell,-34.625
48,2018-11-09,513.9500122070312,buy,-34.625
49,2018-11-12,518.4000244140625,sell,-30.17498779296875
50,2018-11-14,498.54998779296875,buy,-30.17498779296875
51,2018-11-19,520.0499877929688,sell,-8.67498779296875
52,2018-11-20,504.4750061035156,buy,-8.67498779296875
53,2018-11-21,492.57501220703125,sell,-20.574981689453125
54,2018-11-28,521.5499877929688,buy,-20.574981689453125
55,2018-11-29,506.7250061035156,sell,-35.39996337890625
56,2018-12-07,480.9750061035156,buy,-35.39996337890625
57,2018-12-10,471.0,sell,-45.374969482421875
58,2018-12-11,478.42498779296875,buy,-45.374969482421875
59,2019-01-04,466.17498779296875,sell,-57.624969482421875
60,2019-03-05,526.2750244140625,buy,-57.624969482421875
61,2019-03-08,504.5249938964844,sell,-79.375
62,2019-03-11,502.20001220703125,buy,-79.375
63,2019-03-27,521.5750122070312,sell,-60.0
64,2019-05-13,541.8250122070312,buy,-60.0
65,2019-05-21,528.0499877929688,sell,-73.7750244140625
66,2019-05-30,539.0999755859375,buy,-73.7750244140625
67,2019-05-31,546.2750244140625,sell,-66.5999755859375
68,2019-06-19,542.0499877929688,buy,-66.5999755859375
69,2019-07-01,524.5499877929688,sell,-84.0999755859375
70,2019-07-08,519.5250244140625,buy,-84.0999755859375
71,2019-07-19,507.79998779296875,sell,-95.82501220703125
72,2019-09-12,527.4500122070312,buy,-95.82501220703125
73,2019-09-23,516.4500122070312,sell,-106.82501220703125
74,2019-10-01,529.7750244140625,buy,-106.82501220703125
75,2019-10-04,539.5499877929688,sell,-97.050048828125
76,2019-10-09,525.5499877929688,buy,-97.050048828125
77,2019-10-16,550.4500122070312,sell,-72.1500244140625
78,2019-11-19,567.3250122070312,buy,-72.1500244140625
79,2019-11-26,554.0250244140625,sell,-85.45001220703125
80,2019-11-29,563.8250122070312,buy,-85.45001220703125
81,2019-12-09,552.0499877929688,sell,-97.22503662109375
82,2020-01-06,582.0,buy,-97.22503662109375
83,2020-01-07,584.25,sell,-94.97503662109375
84,2020-02-05,595.5999755859375,buy,-94.97503662109375
85,2020-02-10,604.9000244140625,sell,-85.67498779296875
86,2020-02-25,582.4500122070312,buy,-85.67498779296875
87,2020-02-28,534.3499755859375,sell,-133.7750244140625
88,2020-03-03,565.0499877929688,buy,-133.7750244140625
89,2020-03-09,540.4500122070312,sell,-158.375
90,2020-06-24,559.5999755859375,buy,-158.375
91,2020-07-07,592.0499877929688,sell,-125.92498779296875
92,2020-07-15,615.2000122070312,buy,-125.92498779296875
93,2020-07-16,627.75,sell,-113.375
94,2020-08-31,694.4000244140625,buy,-113.375
95,2020-09-08,725.9000244140625,sell,-81.875
96,2020-10-27,847.25,buy,-81.875
97,2020-10-28,829.5999755859375,sell,-99.5250244140625
98,2020-11-03,814.0499877929688,buy,-99.5250244140625
99,2020-11-06,850.0999755859375,sell,-63.47503662109375
100,2020-11-09,855.0,buy,-63.47503662109375
101,2020-11-10,809.7000122070312,sell,-108.7750244140625
102,2020-11-14,830.5,buy,-108.7750244140625
103,2020-11-19,804.5499877929688,sell,-134.72503662109375
104,2021-01-25,947.5,buy,-134.72503662109375
105,2021-01-29,914.0,sell,-168.22503662109375
106,2021-02-15,954.6500244140625,buy,-168.22503662109375
107,2021-02-22,920.1500244140625,sell,-202.72503662109375
108,2021-03-16,1007.25,buy,-202.72503662109375
109,2021-03-18,947.75,sell,-262.22503662109375
110,2021-03-26,958.5499877929688,buy,-262.22503662109375
111,2021-04-01,1002.5999755859375,sell,-218.175048828125
112,2021-04-20,961.2999877929688,buy,-218.175048828125
113,2021-04-26,928.7999877929688,sell,-250.675048828125
114,2021-04-27,928.8499755859375,buy,-250.675048828125
115,2021-04-28,923.7999877929688,sell,-255.72503662109375
116,2021-05-07,916.4000244140625,buy,-255.72503662109375
117,2021-05-19,931.4000244140625,sell,-240.72503662109375
118,2021-07-06,972.0499877929688,buy,-240.72503662109375
119,2021-07-15,1039.75,sell,-173.0250244140625
