,date,price,buysell,balance
0,2017-04-05,285.1499938964844,buy,0.0
1,2017-04-12,284.8500061035156,sell,-0.29998779296875
2,2017-04-26,275.04998779296875,buy,-0.29998779296875
3,2017-05-02,272.75,sell,-2.5999755859375
4,2017-05-11,264.8999938964844,buy,-2.5999755859375
5,2017-05-15,263.79998779296875,sell,-3.699981689453125
6,2017-05-16,267.0,buy,-3.699981689453125
7,2017-05-18,264.5,sell,-6.199981689453125
8,2017-05-19,266.79998779296875,buy,-6.199981689453125
9,2017-05-22,265.1499938964844,sell,-7.8499755859375
10,2017-05-24,276.45001220703125,buy,-7.8499755859375
11,2017-06-06,280.70001220703125,sell,-3.5999755859375
12,2017-06-08,286.0,buy,-3.5999755859375
13,2017-06-12,283.1499938964844,sell,-6.449981689453125
14,2017-06-16,282.3500061035156,buy,-6.449981689453125
15,2017-06-22,282.1000061035156,sell,-6.699981689453125
16,2017-07-10,268.1499938964844,buy,-6.699981689453125
17,2017-07-18,271.79998779296875,sell,-3.04998779296875
18,2017-07-19,274.54998779296875,buy,-3.04998779296875
19,2017-07-20,272.8500061035156,sell,-4.749969482421875
20,2017-07-21,274.79998779296875,buy,-4.749969482421875
21,2017-07-24,273.3500061035156,sell,-6.199951171875
22,2017-08-23,226.5500030517578,buy,-6.199951171875
23,2017-08-28,225.1999969482422,sell,-7.549957275390625
24,2017-09-01,224.5500030517578,buy,-7.549957275390625
25,2017-09-04,219.8000030517578,sell,-12.299957275390625
26,2017-09-12,222.10000610351562,buy,-12.299957275390625
27,2017-09-22,230.75,sell,-3.64996337890625
28,2017-10-03,233.1999969482422,buy,-3.64996337890625
29,2017-10-11,235.60000610351562,sell,-1.2499542236328125
30,2017-10-13,238.0,buy,-1.2499542236328125
31,2017-10-23,234.1999969482422,sell,-5.049957275390625
32,2017-10-27,237.9499969482422,buy,-5.049957275390625
33,2017-11-08,243.6999969482422,sell,0.700042724609375
34,2017-11-17,240.6999969482422,buy,0.700042724609375
35,2017-11-24,240.8000030517578,sell,0.800048828125
36,2017-12-08,233.5,buy,0.800048828125
37,2017-12-12,229.6999969482422,sell,-2.9999542236328125
38,2017-12-19,232.0,buy,-2.9999542236328125
39,2018-01-09,256.6499938964844,sell,21.650039672851562
40,2018-02-14,212.35000610351562,buy,21.650039672851562
41,2018-02-16,208.1999969482422,sell,17.500030517578125
42,2018-02-26,209.0500030517578,buy,17.500030517578125
43,2018-03-05,199.6999969482422,sell,8.1500244140625
44,2018-03-14,197.35000610351562,buy,8.1500244140625
45,2018-03-15,196.14999389648438,sell,6.95001220703125
46,2018-04-02,189.4499969482422,buy,6.95001220703125
47,2018-04-16,193.60000610351562,sell,11.100021362304688
48,2018-04-27,188.75,buy,11.100021362304688
49,2018-05-03,187.0,sell,9.350021362304688
50,2018-05-07,188.4499969482422,buy,9.350021362304688
51,2018-05-14,190.9499969482422,sell,11.850021362304688
52,2018-06-01,173.5500030517578,buy,11.850021362304688
53,2018-06-05,170.85000610351562,sell,9.1500244140625
54,2018-06-06,174.85000610351562,buy,9.1500244140625
55,2018-06-15,180.25,sell,14.550018310546875
56,2018-06-18,183.8000030517578,buy,14.550018310546875
57,2018-06-19,180.6999969482422,sell,11.45001220703125
58,2018-07-09,157.64999389648438,buy,11.45001220703125
59,2018-07-11,154.8000030517578,sell,8.600021362304688
60,2018-07-24,143.0,buy,8.600021362304688
61,2018-07-25,141.1999969482422,sell,6.800018310546875
62,2018-07-26,142.89999389648438,buy,6.800018310546875
63,2018-07-31,143.89999389648438,sell,7.800018310546875
64,2018-08-03,142.6999969482422,buy,7.800018310546875
65,2018-08-10,140.0,sell,5.1000213623046875
66,2018-08-20,144.10000610351562,buy,5.1000213623046875
67,2018-08-24,139.1999969482422,sell,0.20001220703125
68,2018-08-27,140.3000030517578,buy,0.20001220703125
69,2018-08-28,139.1999969482422,sell,-0.899993896484375
70,2018-08-29,140.5500030517578,buy,-0.899993896484375
71,2018-08-30,138.1999969482422,sell,-3.25
72,2018-08-31,142.0500030517578,buy,-3.25
73,2018-09-11,142.75,sell,-2.5500030517578125
74,2018-10-29,95.94999694824219,buy,-2.5500030517578125
75,2018-11-07,105.69999694824219,sell,7.1999969482421875
76,2018-11-19,101.0999984741211,buy,7.1999969482421875
77,2018-11-20,99.9000015258789,sell,6.0
78,2018-11-21,100.0,buy,6.0
79,2018-11-22,98.6500015258789,sell,4.650001525878906
80,2018-12-13,90.94999694824219,buy,4.650001525878906
81,2018-12-24,94.1500015258789,sell,7.850006103515625
82,2019-01-07,93.9000015258789,buy,7.850006103515625
83,2019-01-18,97.0999984741211,sell,11.050003051757812
84,2019-01-31,93.6500015258789,buy,11.050003051757812
85,2019-02-05,90.69999694824219,sell,8.099998474121094
86,2019-02-06,92.25,buy,8.099998474121094
87,2019-02-08,80.8499984741211,sell,-3.3000030517578125
88,2019-02-19,85.0999984741211,buy,-3.3000030517578125
89,2019-02-28,87.69999694824219,sell,-0.7000045776367188
90,2019-03-01,90.25,buy,-0.7000045776367188
91,2019-03-08,91.5999984741211,sell,0.649993896484375
92,2019-03-11,92.6500015258789,buy,0.649993896484375
93,2019-03-13,91.19999694824219,sell,-0.8000106811523438
94,2019-04-01,92.3499984741211,buy,-0.8000106811523438
95,2019-04-10,102.25,sell,9.099990844726562
96,2019-05-20,88.8499984741211,buy,9.099990844726562
97,2019-05-21,83.1500015258789,sell,3.399993896484375
98,2019-05-22,85.4000015258789,buy,3.399993896484375
99,2019-05-29,85.3499984741211,sell,3.3499908447265625
100,2019-05-30,84.75,buy,3.3499908447265625
101,2019-06-06,82.0999984741211,sell,0.6999893188476562
102,2019-06-11,84.9000015258789,buy,0.6999893188476562
103,2019-06-12,83.19999694824219,sell,-1.0000152587890625
104,2019-06-25,77.94999694824219,buy,-1.0000152587890625
105,2019-07-05,77.94999694824219,sell,-1.0000152587890625
106,2019-07-12,77.1500015258789,buy,-1.0000152587890625
107,2019-07-18,76.9000015258789,sell,-1.2500152587890625
108,2019-08-20,57.45000076293945,buy,-1.2500152587890625
109,2019-08-21,52.70000076293945,sell,-6.0000152587890625
110,2019-08-27,55.849998474121094,buy,-6.0000152587890625
111,2019-08-28,53.650001525878906,sell,-8.20001220703125
112,2019-08-30,53.5,buy,-8.20001220703125
113,2019-09-03,51.099998474121094,sell,-10.600013732910156
114,2019-09-05,53.349998474121094,buy,-10.600013732910156
115,2019-09-11,61.45000076293945,sell,-2.500011444091797
116,2019-09-20,61.650001525878906,buy,-2.500011444091797
117,2019-09-25,56.400001525878906,sell,-7.750011444091797
118,2019-10-11,53.849998474121094,buy,-7.750011444091797
119,2019-10-17,62.349998474121094,sell,0.7499885559082031
120,2019-10-27,67.1500015258789,buy,0.7499885559082031
121,2019-10-29,79.19999694824219,sell,12.799983978271484
122,2019-11-11,79.6500015258789,buy,12.799983978271484
123,2019-11-13,78.44999694824219,sell,11.599979400634766
124,2019-11-18,78.55000305175781,buy,11.599979400634766
125,2019-11-19,77.44999694824219,sell,10.49997329711914
126,2019-12-12,70.5,buy,10.49997329711914
127,2019-12-26,72.80000305175781,sell,12.799976348876953
128,2019-12-30,76.75,buy,12.799976348876953
129,2020-01-06,75.30000305175781,sell,11.349979400634766
130,2020-01-09,79.44999694824219,buy,11.349979400634766
131,2020-01-20,80.94999694824219,sell,12.849979400634766
132,2020-01-29,77.5999984741211,buy,12.849979400634766
133,2020-01-31,74.3499984741211,sell,9.599979400634766
134,2020-02-05,75.4000015258789,buy,9.599979400634766
135,2020-02-06,73.3499984741211,sell,7.549976348876953
136,2020-03-31,30.950000762939453,buy,7.549976348876953
137,2020-04-01,29.950000762939453,sell,6.549976348876953
138,2020-04-07,30.299999237060547,buy,6.549976348876953
139,2020-04-09,34.25,sell,10.499977111816406
140,2020-04-15,36.349998474121094,buy,10.499977111816406
141,2020-04-21,34.400001525878906,sell,8.549980163574219
142,2020-04-29,34.900001525878906,buy,8.549980163574219
143,2020-04-30,39.75,sell,13.399978637695312
144,2020-05-11,35.95000076293945,buy,13.399978637695312
145,2020-05-14,35.29999923706055,sell,12.749977111816406
146,2020-05-21,35.349998474121094,buy,12.749977111816406
147,2020-05-22,34.70000076293945,sell,12.099979400634766
148,2020-05-27,35.150001525878906,buy,12.099979400634766
149,2020-06-01,38.900001525878906,sell,15.849979400634766
150,2020-06-19,42.70000076293945,buy,15.849979400634766
151,2020-06-26,41.45000076293945,sell,14.599979400634766
152,2020-07-03,41.45000076293945,buy,14.599979400634766
153,2020-07-14,41.0,sell,14.149978637695312
154,2020-07-21,41.25,buy,14.149978637695312
155,2020-07-22,40.0,sell,12.899978637695312
156,2020-08-03,39.79999923706055,buy,12.899978637695312
157,2020-08-13,47.29999923706055,sell,20.399978637695312
158,2020-08-24,44.70000076293945,buy,20.399978637695312
159,2020-08-26,53.349998474121094,sell,29.049976348876953
160,2020-09-28,61.25,buy,29.049976348876953
161,2020-09-29,60.04999923706055,sell,27.8499755859375
162,2020-09-30,62.79999923706055,buy,27.8499755859375
163,2020-10-09,61.45000076293945,sell,26.499977111816406
164,2020-10-22,56.650001525878906,buy,26.499977111816406
165,2020-10-26,55.5,sell,25.3499755859375
166,2020-10-27,56.25,buy,25.3499755859375
167,2020-10-29,55.29999923706055,sell,24.399974822998047
168,2020-11-05,56.150001525878906,buy,24.399974822998047
169,2020-11-13,61.849998474121094,sell,30.099971771240234
170,2020-12-16,76.05000305175781,buy,30.099971771240234
171,2020-12-18,75.5999984741211,sell,29.649967193603516
172,2020-12-24,72.8499984741211,buy,29.649967193603516
173,2021-01-07,80.30000305175781,sell,37.099971771240234
174,2021-02-01,111.9000015258789,buy,37.099971771240234
175,2021-02-02,130.5,sell,55.69997024536133
176,2021-02-15,133.5,buy,55.69997024536133
177,2021-02-17,131.85000610351562,sell,54.04997634887695
178,2021-02-25,129.35000610351562,buy,54.04997634887695
179,2021-03-09,136.35000610351562,sell,61.04997634887695
180,2021-03-10,138.3000030517578,buy,61.04997634887695
181,2021-03-12,136.3000030517578,sell,59.04997634887695
182,2021-03-19,134.1999969482422,buy,59.04997634887695
183,2021-03-22,131.5500030517578,sell,56.39998245239258
184,2021-03-23,134.14999389648438,buy,56.39998245239258
185,2021-03-24,127.19999694824219,sell,49.44998550415039
186,2021-04-01,131.4499969482422,buy,49.44998550415039
187,2021-04-12,127.1500015258789,sell,45.14999008178711
188,2021-04-13,134.25,buy,45.14999008178711
189,2021-04-19,134.25,sell,45.14999008178711
190,2021-04-28,131.9499969482422,buy,45.14999008178711
191,2021-04-29,130.5,sell,43.69999313354492
192,2021-05-06,131.4499969482422,buy,43.69999313354492
193,2021-05-11,146.9499969482422,sell,59.19999313354492
194,2021-05-24,148.60000610351562,buy,59.19999313354492
195,2021-05-26,147.0500030517578,sell,57.64999008178711
196,2021-05-27,152.1999969482422,buy,57.64999008178711
197,2021-06-01,143.8000030517578,sell,49.249996185302734
198,2021-06-03,148.9499969482422,buy,49.249996185302734
199,2021-06-14,165.89999389648438,sell,66.19999313354492
200,2021-06-28,157.6999969482422,buy,66.19999313354492
201,2021-06-30,155.1999969482422,sell,63.69999313354492
202,2021-07-15,144.8000030517578,buy,63.69999313354492
203,2021-07-19,141.75,sell,60.64999008178711
204,2021-07-29,137.85000610351562,buy,60.64999008178711
205,2021-08-10,136.89999389648438,sell,59.69997787475586
206,2021-08-12,143.75,buy,59.69997787475586
207,2021-08-16,140.3000030517578,sell,56.24998092651367
208,2021-08-25,138.60000610351562,buy,56.24998092651367
209,2021-08-31,136.5500030517578,sell,54.19997787475586
210,2021-09-01,139.4499969482422,buy,54.19997787475586
211,2021-09-07,138.6999969482422,sell,53.44997787475586
212,2021-09-09,140.9499969482422,buy,53.44997787475586
213,2021-09-15,161.5,sell,73.99998092651367
214,2021-09-21,149.64999389648438,buy,73.99998092651367
215,2021-09-23,164.75,sell,89.0999870300293
216,2021-10-07,193.14999389648438,buy,89.0999870300293
217,2021-10-13,237.4499969482422,sell,133.3999900817871
218,2021-10-26,266.95001220703125,buy,133.3999900817871
219,2021-10-28,252.0,sell,118.44997787475586
220,2021-11-02,261.04998779296875,buy,118.44997787475586
221,2021-11-10,288.6000061035156,sell,145.99999618530273
222,2021-12-08,258.6499938964844,buy,145.99999618530273
223,2021-12-15,253.0,sell,140.35000228881836
224,2021-12-28,236.35000610351562,buy,140.35000228881836
225,2022-01-17,265.1000061035156,sell,169.10000228881836
